Actual Temperature,Predicted Temperature,Absolute Error
63.0,59.860428,3.1395721
59.9375,60.78566,0.8481598
58.1875,60.461544,2.274044
57.6875,59.993088,2.3055878
58.125,59.60543,1.4804306
61.0625,59.374187,1.6883125
60.8125,59.769455,1.043045
58.1875,60.554764,2.3672638
58.8125,59.282417,0.4699173
58.0,59.60553,1.6055298
58.0,58.927025,0.92702484
57.3125,58.55725,1.244751
56.75,58.35131,1.6013107
57.375,57.777332,0.4023323
62.125,57.765522,4.359478
61.375,59.186077,2.188923
58.125,59.66381,1.5388107
58.4375,59.134468,0.6969681
59.5625,59.17036,0.39213943
61.0,59.74131,1.2586899
58.6875,60.41958,1.7320786
61.1875,59.361687,1.8258133
59.875,60.26757,0.3925705
59.625,60.36558,0.7405815
58.1875,60.579773,2.392273
58.0,59.96781,1.9678116
54.8125,59.111336,4.2988358
60.875,58.39538,2.479622
56.8125,59.15817,2.3456688
62.0,58.67989,3.3201103
59.8125,59.581192,0.23130798
58.4375,59.92581,1.4883118
59.6875,59.793472,0.10597229
58.625,60.01055,1.3855515
57.3125,59.843586,2.531086
58.25,58.862427,0.61242676
57.5,58.97387,1.4738693
59.125,58.602043,0.52295685
65.3125,58.92768,6.384819
56.875,60.57598,3.7009811
58.0625,59.446617,1.3841171
55.5625,59.022045,3.4595451
57.1875,58.421055,1.2335548
59.8125,58.52765,1.2848511
59.5,59.175453,0.3245468
57.75,59.498505,1.7485046
58.75,59.253387,0.50338745
59.25,59.561356,0.3113556
56.9375,59.3159,2.378399
57.125,58.84191,1.7169113
55.125,58.468452,3.3434525
56.6875,58.17352,1.4860191
54.375,58.19336,3.8183594
59.0,57.562298,1.4377022
61.375,58.517426,2.8575745
59.375,59.263046,0.111953735
58.9375,59.60103,0.66352844
57.75,59.488113,1.7381134
58.3125,59.172318,0.8598175
58.8125,59.46379,0.6512909
60.0,59.79097,0.20903015
62.625,60.04084,2.5841599
60.125,60.09878,0.026218414
57.3125,60.328194,3.0156937
57.4375,59.68393,2.2464294
57.5,59.07499,1.5749893
57.875,58.896996,1.0219955
58.25,58.695236,0.4452362
61.375,58.51564,2.8593597
56.9375,59.39965,2.4621506
57.0625,58.78424,1.7217407
56.875,58.597343,1.7223434
58.0625,58.14685,0.084350586
57.625,58.27752,0.6525192
57.9375,58.171196,0.23369598
57.375,58.033234,0.65823364
56.0,57.90212,1.9021187
55.875,57.414825,1.5398254
57.375,57.158485,0.21651459
57.5,57.180565,0.31943512
56.625,57.707924,1.0829239
61.125,57.26328,3.861721
57.0,58.6407,1.6407013
61.625,57.782253,3.8427467
59.1875,59.271187,0.08368683
59.0625,58.918114,0.14438629
54.8125,59.102093,4.2895927
52.125,57.221943,5.096943
51.0,55.761993,4.7619934
52.75,54.79459,2.04459
56.6875,54.57871,2.1087914
49.625,54.83084,5.205841
56.125,53.789818,2.3351822
55.125,55.01071,0.11428833
55.375,55.512527,0.13752747
58.125,55.876022,2.2489777
58.375,56.60485,1.7701492
55.4375,57.0746,1.6371002
56.25,56.732338,0.48233795
56.1875,56.93326,0.7457619
57.375,56.740578,0.6344223
56.6875,57.361763,0.674263
56.9375,57.38726,0.44976044
56.9375,57.55011,0.61260986
57.125,57.973503,0.8485031
57.125,58.133133,1.0081329
57.6875,58.1036,0.41609955
62.625,58.389984,4.235016
58.5,59.33988,0.8398819
64.8125,59.321335,5.491165
60.125,59.903778,0.22122192
57.4375,60.393517,2.9560165
59.875,59.836838,0.03816223
60.375,60.134727,0.24027252
62.5,60.79222,1.7077789
64.875,61.023975,3.8510246
58.4375,62.213913,3.776413
57.875,60.422882,2.547882
60.1875,59.769203,0.4182968
60.8125,60.10946,0.7030411
56.9375,60.28106,3.3435593
59.8125,59.034298,0.77820206
56.875,59.467743,2.592743
56.5,58.74562,2.2456207
58.3125,58.20998,0.10251999
